2023/08/05 15:22:41.789 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\configx]"
2023/08/05 17:47:50.753 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:55:03.822 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:55:04.314 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:56:37.296 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:56:37.787 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 17:56:38.613 [E] [xredis.go:315]  WRONGTYPE Operation against a key holding the wrong kind of value
2023/08/05 17:56:43.813 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 17:56:44.305 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:06:30.220 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:06:30.738 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:06:41.078 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:06:41.596 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:06:57.257 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:06:57.776 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:07:00.885 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:07:01.414 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:07:03.663 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:07:04.180 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:07:27.860 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:07:28.383 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:07:39.238 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:07:39.756 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:08:53.933 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:08:54.451 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:09:25.184 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:09:25.701 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:09:47.035 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:09:47.553 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:10:15.548 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:10:16.077 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:10:50.981 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:10:51.508 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:10:58.055 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:10:58.584 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:12:34.938 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:12:35.416 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:12:47.857 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:12:48.332 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:12:53.971 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:12:54.456 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:13:19.060 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:13:19.537 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:13:34.243 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:13:34.730 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:13:39.885 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:13:42.394 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:13:42.868 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:14:52.798 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:14:53.279 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:14:57.668 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:14:58.137 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:15:22.079 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:15:22.546 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:15:36.559 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:15:37.034 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:16:04.566 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:16:05.038 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:16:13.149 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:16:13.622 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:16:33.753 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:16:34.246 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:17:02.147 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:17:02.643 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:17:57.554 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:17:58.049 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:18:12.554 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:18:13.049 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:20:31.458 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:20:31.961 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:20:40.783 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:20:41.283 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:21:47.190 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:21:47.685 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:23:50.602 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:23:51.093 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:25:07.720 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:25:08.215 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:25:13.351 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:25:13.854 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:25:41.047 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:25:41.539 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:27:08.972 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:27:09.468 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:28:06.086 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:28:06.578 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:28:27.217 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:28:27.711 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:29:17.666 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:29:18.160 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:29:26.143 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:29:26.671 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:29:27.388 [E] [xredis.go:280]  ERR wrong number of arguments for 'randomkey' command
2023/08/05 18:29:33.728 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:29:34.254 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:29:34.960 [E] [xredis.go:280]  ERR wrong number of arguments for 'randomkey' command
2023/08/05 18:30:09.635 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:30:10.167 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:31:42.140 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:31:42.671 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:31:54.449 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:31:54.977 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:31:55.687 [E] [xredis.go:293]  ERR unknown command `renamekey`, with args beginning with: `xgotest:abcx`, `xgotest:abcf`, 
2023/08/05 18:32:39.255 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:32:39.751 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:33:09.651 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:33:10.146 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:33:10.802 [E] [xredis.go:293]  ERR no such key
2023/08/05 18:33:31.547 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:33:32.041 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:33:52.780 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:33:53.275 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:34:12.000 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:34:12.557 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:34:13.295 [E] [xredis.go:306]  ERR no such key
2023/08/05 18:34:52.346 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:34:52.901 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:35:41.524 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:35:42.086 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:35:56.967 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:35:57.524 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:36:05.436 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:36:08.288 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:36:08.842 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:36:25.445 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:36:25.998 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:36:26.736 [E] [xredis.go:306]  ERR no such key
2023/08/05 18:40:34.343 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:40:34.843 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:40:35.498 [E] [xredis.go:306]  ERR no such key
2023/08/05 18:40:44.694 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:40:45.189 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:41:02.656 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:41:03.147 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:43:26.892 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:43:27.391 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:44:12.426 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:44:12.920 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:44:36.363 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:44:36.862 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:46:11.391 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:46:11.885 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:46:34.511 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:46:35.002 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:46:35.659 [E] [xredis.go:330]  WRONGTYPE Operation against a key holding the wrong kind of value
2023/08/05 18:46:58.708 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:46:59.208 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:47:14.098 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:47:14.593 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:47:25.434 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:47:25.927 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:47:35.936 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:47:36.430 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:47:46.233 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:47:46.725 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:49:06.107 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:49:06.601 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:50:06.772 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:50:07.263 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:50:51.759 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:50:52.256 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:51:05.427 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:51:05.929 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:57:37.122 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:57:37.616 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:58:14.937 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:58:15.430 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:58:49.435 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:58:49.929 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 18:59:22.946 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 18:59:23.439 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:03:13.561 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:03:14.090 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:03:26.863 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:03:27.397 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:03:39.803 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:03:40.323 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:03:45.903 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:03:46.428 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:06:21.160 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:06:21.683 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:06:26.167 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:06:26.662 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:06:27.323 [E] [xredis.go:474]  ERR value is not an integer or out of range
2023/08/05 19:06:38.219 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:06:38.709 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:06:53.448 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:06:53.956 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:07:26.799 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:07:27.294 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:07:35.120 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:07:35.611 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:07:42.987 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:07:43.476 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:07:53.430 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:07:53.919 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:07:58.775 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:07:59.266 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:08:29.251 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:08:29.740 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:08:34.457 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:08:34.948 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:08:35.609 [E] [xredis.go:498]  ERR value is not an integer or out of range
2023/08/05 19:08:58.765 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:08:59.257 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:08:59.915 [E] [xredis.go:498]  ERR value is not an integer or out of range
2023/08/05 19:09:09.619 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:09:10.111 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:10:13.604 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:10:14.100 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:10:34.008 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:10:34.500 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:11:36.339 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:11:36.895 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:11:54.054 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:11:54.619 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:12:01.303 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:12:01.858 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:12:02.602 [E] [xredis.go:523]  ERR value is not an integer or out of range
2023/08/05 19:12:29.136 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:12:29.697 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:12:30.441 [E] [xredis.go:523]  ERR value is not an integer or out of range
2023/08/05 19:12:43.121 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:12:43.680 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:12:59.806 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:13:00.365 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:13:39.872 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:13:40.429 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:13:48.489 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:13:49.047 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:13:49.790 [E] [xredis.go:535]  ERR unknown command `decrbyfloat`, with args beginning with: `xgotest:testa`, `3.2`, 
2023/08/05 19:14:08.528 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:14:09.085 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:14:58.649 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:14:59.170 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:15:05.089 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:15:05.610 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:16:36.945 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:16:37.475 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:18:05.791 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:18:06.322 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:18:46.800 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:18:47.307 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:18:47.977 [E] [xredis.go:630]  ERR unknown command `hincr`, with args beginning with: `xgotest:testx`, `abc`, 
2023/08/05 19:19:48.070 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:19:48.574 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:19:49.246 [E] [xredis.go:630]  ERR unknown command `hincr`, with args beginning with: `xgotest:testx`, `abc`, `1`, 
2023/08/05 19:19:59.329 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:19:59.834 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:20:25.415 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:20:25.916 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:20:33.084 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:20:33.592 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:20:34.264 [E] [xredis.go:642]  ERR value is not an integer or out of range
2023/08/05 19:20:45.128 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:20:45.639 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:21:12.358 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:21:12.853 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:21:18.801 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:21:19.296 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:21:29.200 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:21:29.699 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:32:34.267 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:32:34.826 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:33:29.934 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 19:33:30.494 [D] [xredis.go:66]  连接redis 成功: 10.10.234.221 19879 5
2023/08/05 19:35:49.924 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
